region,people,mental_budget,per person
서울시,"9,857,426","44,853,751,620","4,550"
 종로구,"154,770","1,637,216,000","10,578"
 중구,"125,709","1,216,258,942","9,675"
 용산구,"229,161","849,055,000","3,705"
 성동구,"304,808","1,341,700,948","4,401"
 광진구,"357,703","2,242,178,198","6,268"
 동대문구,"350,647","1,905,832,340","5,435"
 중랑구,"408,226","1,515,554,000","3,712"
 성북구,"444,055","1,126,323,160","2,536"
 강북구,"324,479","1,816,246,000","5,597"
 도봉구,"344,166","2,722,945,760","7,911"
 노원구,"554,403","2,772,011,000","4,999"
 은평구,"486,794","2,232,555,047","4,586"
 서대문구,"312,800","1,931,596,335","6,175"
 마포구,"374,915","3,034,780,260","8,094"
 양천구,"471,154","1,864,495,000","3,957"
 강서구,"601,691","3,004,110,993","4,992"
 구로구,"410,742","1,769,008,444","4,306"
 금천구,"235,154","979,379,000","4,164"
 영등포구,"368,550","1,310,358,279","3,555"
 동작구,"396,217","1,177,284,079","2,971"
 관악구,"503,297","1,800,974,973","3,578"
 서초구,"441,102","1,783,849,452","4,044"
 강남구,"556,164","1,366,746,000","2,457"
 송파구,"664,496","1,729,183,000","2,602"
 강동구,"436,223","1,724,109,410","3,952"
