"region","mental_budget","mental_cost","budget_diff"
"종로구",1759.173,4702.383,-2943.21
"은평구",2387.453,4767.483,-2380.03
"구로구",1731.765,3372.287,-1640.522
"강북구",947.826,1332.177,-384.351
"용산구",1036.399,1036.259,0.139999999999873
"금천구",1975.758,1960.716,15.0420000000001
"서대문구",2323.232,2306.943,16.2889999999998
"관악구",1300.218,1283.659,16.559
"마포구",1255.761,1231.692,24.069
"중랑구",1785.723,1725.65,60.0729999999999
"양천구",2790.965,2725.773,65.192
"광진구",2673.588,2599.401,74.1870000000004
"성동구",1888.725,1797.663,91.0619999999999
"중구",1936.319,1840.862,95.4569999999999
"강동구",2059.974,1930.438,129.536
"동작구",1108.533,969.679,138.854
"송파구",1561.284,1406.132,155.152
"강남구",1543.567,1382.179,161.388
"동대문구",2966.392,2798.245,168.147
"노원구",3119.74,2951.028,168.712
"영등포구",1493.035,1309.146,183.889
"도봉구",3416.129,3156.984,259.145
"서초구",2948.73,2582.973,365.757
"성북구",1920.278,1262.338,657.94
"강서구",3054.833,2374.462,680.371
