region,people,mental_cost,per person
서울시,"9,668,465","55,342,714,000","5,724"
종로구,"149,384","2,797,063,000","18,724"
중구,"125,240","1,332,435,000","10,639"
용산구,"230,040","1,251,984,000","5,442"
성동구,"293,556","2,786,910,000","9,494"
광진구,"346,682","2,747,675,000","7,926"
동대문구,"342,837","1,647,922,000","4,807"
중랑구,"394,702","2,386,100,000","6,045"
성북구,"437,153","1,121,323,000","2,565"
강북구,"308,055","1,369,443,000","4,445"
도봉구,"325,257","2,571,456,000","7,906"
노원구,"523,037","2,848,987,000","5,447"
은평구,"479,835","2,323,162,000","4,842"
서대문구,"312,173","2,157,442,000","6,911"
마포구,"371,890","4,856,471,000","13,059"
양천구,"454,251","2,561,568,000","5,639"
강서구,"580,185","2,907,898,000","5,012"
구로구,"404,408","1,929,939,000","4,772"
금천구,"231,733","1,382,884,000","5,968"
영등포구,"379,480","2,581,309,000","6,802"
동작구,"391,220","1,173,452,000","2,999"
관악구,"495,060","3,101,706,000","6,265"
서초구,"425,126","1,932,910,000","4,547"
강남구,"539,231","1,284,848,000","2,383"
송파구,"667,960","2,276,114,000","3,408"
강동구,"459,970","2,011,713,000","4,374"
