"region","mental_budget","mental_cost","budget_diff"
"강남구",1576.403,1284.848,291.555
"강동구",2173.033,2011.713,161.32
"강북구",2198.505,1369.443,829.062
"강서구",3147.575,2907.898,239.677
"관악구",3458.196,3101.706,356.49
"광진구",2954.813,2747.675,207.138
"구로구",2383.308,1929.939,453.369
"금천구",1460.356,1382.884,77.472
"노원구",2892.529,2848.987,43.5419999999999
"도봉구",2815.643,2571.456,244.187
"동대문구",2372.077,1647.922,724.155
"동작구",1293.861,1173.452,120.409
"마포구",5000.26,4856.471,143.789000000001
"서대문구",2473.448,2157.442,316.006
"서초구",2413.119,1932.91,480.209
"성동구",2987.116,2786.91,200.206
"성북구",1384.49,1121.323,263.167
"송파구",2389.658,2276.114,113.544
"양천구",2820.117,2561.568,258.549
"영등포구",2744.213,2581.309,162.904
"용산구",1426.518,1251.984,174.534
"은평구",2463.011,2323.162,139.849
"종로구",3023.347,2797.063,226.284
"중구",1509.922,1332.435,177.487
"중랑구",2519.201,2386.1,133.101
