지역,2012주민등록인구,2012등록장애인,2012등록정신장애인,2012등록정신장애인_비율,2013주민등록인구,2013등록장애인,2013등록정신장애인,2013등록정신장애인_비율,2014주민등록인구,2014등록장애인,2014등록정신장애인,2014등록정신장애인_비율,2015주민등록인구,2015등록장애인,2015등록정신장애인,2015등록정신장애인_비율,2016주민등록인구,2016등록장애인,2016등록정신장애인,2016등록정신장애인_비율,2017주민등록인구,2017등록장애인,2017등록정신장애인,2017등록정신장애인_비율,2018주민등록인구,2018등록장애인,2018등록정신장애인,2018등록정신장애인_비율,2019주민등록인구,2019등록장애인,2019등록정신장애인,2019등록정신장애인_비율,2020주민등록인구,2020등록장애인,2020등록정신장애인,2020등록정신장애인_비율,2021주민등록인구,2021등록장애인,2021등록정신장애인,2021등록정신장애인_비율
서울시,"10,195,318","407,528","15,376",3.77,"10,143,645","403,435","15,537",3.9,"10,103,233","398,908","15,728",3.9,"10,022,181","393,245","15,943",4.1,"9,930,616","391,027","16,139",4.1,"9,857,426","391,753","16,326",4.2,"9,765,623","392,920","16,365",4.2,"9,729,107","394,843","16,435",4.16,"9,668,465","394,190","16,525",4.19,"9,509,458","392,123","16,600",4.2
 종로구,"165,207","6,905",274,3.96,"160,070","6,641",254,3.8,"156,993","6,402",254,4,"154,986","6,186",260,4.2,"152,737","6,072",261,4.3,"154,770","6,064",263,4.3,"153,065","6,017",260,4.3,"151,290","6,068",271,4.46,"149,384","6,015",258,4.29,"144,683","5,929",262,4.4
 중구,"133,360","6,296",211,3.35,"130,465","6,102",218,3.6,"128,065","5,954",227,3.8,"125,733","5,774",235,4.1,"125,249","5,719",232,4.1,"125,709","5,694",234,4.1,"125,725","5,638",218,3.9,"126,171","5,712",220,3.85,"125,240","5,700",218,3.82,"122,499","5,634",207,3.7
 용산구,"243,232","9,225",312,3.38,"239,740","8,869",302,3.4,"235,951","8,638",305,3.5,"233,342","8,320",301,3.6,"230,241","8,189",303,3.7,"229,161","8,116",297,3.7,"228,999","8,102",291,3.6,"228,670","8,025",298,3.71,"230,040","7,960",292,3.67,"222,953","7,686",282,3.7
 성동구,"299,604","12,256",408,3.32,"299,337","12,052",412,3.4,"296,086","11,849",417,3.5,"297,003","11,773",427,3.6,"299,259","11,664",439,3.8,"304,808","11,770",456,3.9,"308,221","11,880",449,3.8,"300,889","11,686",436,3.73,"293,556","11,412",423,3.71,"285,990","11,284",407,3.6
 광진구,"371,313","13,187",487,3.69,"368,927","13,013",493,3.8,"363,354","12,660",491,3.9,"360,369","12,494",514,4.1,"357,215","12,356",515,4.2,"357,703","12,514",521,4.2,"355,559","12,610",536,4.3,"351,350","12,563",521,4.14,"346,682","12,353",513,4.15,"339,996","12,253",530,4.3
 동대문구,"363,258","16,584",594,3.58,"364,273","16,497",613,3.7,"363,687","16,317",634,3.9,"360,153","15,979",633,4,"355,069","15,909",648,4.1,"350,647","15,893",646,4.1,"348,052","15,838",653,4.1,"346,194","15,871",634,3.99,"342,837","15,701",638,4.06,"337,400","15,518",633,4.1
 중랑구,"419,295","20,563",842,4.09,"416,798","20,339",823,4,"418,836","20,252",835,4.1,"413,909","19,996",812,4.1,"411,005","19,882",828,4.2,"408,226","20,034",856,4.3,"403,209","20,153",860,4.3,"397,015","20,361",868,4.26,"394,702","20,394",857,4.2,"387,350","20,357",856,4.2
 성북구,"481,857","19,507",672,3.44,"476,589","19,368",673,3.5,"466,706","18,615",660,3.5,"459,275","18,105",639,3.5,"450,355","17,755",638,3.6,"444,055","17,529",640,3.7,"435,868","17,415",634,3.6,"442,650","17,687",654,3.69,"437,153","17,490",647,3.7,"430,528","17,382",647,3.7
 강북구,"343,157","17,641",650,3.68,"338,707","17,487",674,3.9,"335,025","17,357",668,3.8,"330,873","17,243",690,4,"327,195","17,338",718,4.1,"324,479","17,377",715,4.1,"319,164","17,522",725,4.1,"313,954","17,517",731,4.17,"308,055","17,441",740,4.24,"299,182","17,395",747,4.3
