"지역","variable","measure","주민등록인구","등록정신장애인","등록정신장애인_비율"
" 종로구","2012",NA,"165,207","274",3.96
" 종로구","2013",NA,"160,070","254",3.8
" 종로구","2014",NA,"156,993","254",4
" 종로구","2015",NA,"154,986","260",4.2
" 종로구","2016",NA,"152,737","261",4.3
" 종로구","2017",NA,"154,770","263",4.3
" 종로구","2018",NA,"153,065","260",4.3
" 종로구","2019",NA,"151,290","271",4.46
" 종로구","2020",NA,"149,384","258",4.29
" 종로구","2021",NA,"144,683","262",4.4
" 중구","2012",NA,"133,360","211",3.35
" 중구","2013",NA,"130,465","218",3.6
" 중구","2014",NA,"128,065","227",3.8
" 중구","2015",NA,"125,733","235",4.1
" 중구","2016",NA,"125,249","232",4.1
" 중구","2017",NA,"125,709","234",4.1
" 중구","2018",NA,"125,725","218",3.9
" 중구","2019",NA,"126,171","220",3.85
" 중구","2020",NA,"125,240","218",3.82
" 중구","2021",NA,"122,499","207",3.7
" 용산구","2012",NA,"243,232","312",3.38
" 용산구","2013",NA,"239,740","302",3.4
" 용산구","2014",NA,"235,951","305",3.5
" 용산구","2015",NA,"233,342","301",3.6
" 용산구","2016",NA,"230,241","303",3.7
" 용산구","2017",NA,"229,161","297",3.7
" 용산구","2018",NA,"228,999","291",3.6
" 용산구","2019",NA,"228,670","298",3.71
" 용산구","2020",NA,"230,040","292",3.67
" 용산구","2021",NA,"222,953","282",3.7
" 성동구","2012",NA,"299,604","408",3.32
" 성동구","2013",NA,"299,337","412",3.4
" 성동구","2014",NA,"296,086","417",3.5
" 성동구","2015",NA,"297,003","427",3.6
" 성동구","2016",NA,"299,259","439",3.8
" 성동구","2017",NA,"304,808","456",3.9
" 성동구","2018",NA,"308,221","449",3.8
" 성동구","2019",NA,"300,889","436",3.73
" 성동구","2020",NA,"293,556","423",3.71
" 성동구","2021",NA,"285,990","407",3.6
" 광진구","2012",NA,"371,313","487",3.69
" 광진구","2013",NA,"368,927","493",3.8
" 광진구","2014",NA,"363,354","491",3.9
" 광진구","2015",NA,"360,369","514",4.1
" 광진구","2016",NA,"357,215","515",4.2
" 광진구","2017",NA,"357,703","521",4.2
" 광진구","2018",NA,"355,559","536",4.3
" 광진구","2019",NA,"351,350","521",4.14
" 광진구","2020",NA,"346,682","513",4.15
" 광진구","2021",NA,"339,996","530",4.3
" 동대문구","2012",NA,"363,258","594",3.58
" 동대문구","2013",NA,"364,273","613",3.7
" 동대문구","2014",NA,"363,687","634",3.9
" 동대문구","2015",NA,"360,153","633",4
" 동대문구","2016",NA,"355,069","648",4.1
" 동대문구","2017",NA,"350,647","646",4.1
" 동대문구","2018",NA,"348,052","653",4.1
" 동대문구","2019",NA,"346,194","634",3.99
" 동대문구","2020",NA,"342,837","638",4.06
" 동대문구","2021",NA,"337,400","633",4.1
" 중랑구","2012",NA,"419,295","842",4.09
" 중랑구","2013",NA,"416,798","823",4
" 중랑구","2014",NA,"418,836","835",4.1
" 중랑구","2015",NA,"413,909","812",4.1
" 중랑구","2016",NA,"411,005","828",4.2
" 중랑구","2017",NA,"408,226","856",4.3
" 중랑구","2018",NA,"403,209","860",4.3
" 중랑구","2019",NA,"397,015","868",4.26
" 중랑구","2020",NA,"394,702","857",4.2
" 중랑구","2021",NA,"387,350","856",4.2
" 성북구","2012",NA,"481,857","672",3.44
" 성북구","2013",NA,"476,589","673",3.5
" 성북구","2014",NA,"466,706","660",3.5
" 성북구","2015",NA,"459,275","639",3.5
" 성북구","2016",NA,"450,355","638",3.6
" 성북구","2017",NA,"444,055","640",3.7
" 성북구","2018",NA,"435,868","634",3.6
" 성북구","2019",NA,"442,650","654",3.69
" 성북구","2020",NA,"437,153","647",3.7
" 성북구","2021",NA,"430,528","647",3.7
" 강북구","2012",NA,"343,157","650",3.68
" 강북구","2013",NA,"338,707","674",3.9
" 강북구","2014",NA,"335,025","668",3.8
" 강북구","2015",NA,"330,873","690",4
" 강북구","2016",NA,"327,195","718",4.1
