"지역","variable","measure","주민등록인구","등록장애인","등록정신장애인","등록정신장애인_비율"
" 종로구","2012",NA,"165,207","6,905","274",3.96
" 종로구","2013",NA,"160,070","6,641","254",3.8
" 종로구","2014",NA,"156,993","6,402","254",4
" 종로구","2015",NA,"154,986","6,186","260",4.2
" 종로구","2016",NA,"152,737","6,072","261",4.3
" 종로구","2017",NA,"154,770","6,064","263",4.3
" 종로구","2018",NA,"153,065","6,017","260",4.3
" 종로구","2019",NA,"151,290","6,068","271",4.46
" 종로구","2020",NA,"149,384","6,015","258",4.29
" 종로구","2021",NA,"144,683","5,929","262",4.4
" 중구","2012",NA,"133,360","6,296","211",3.35
" 중구","2013",NA,"130,465","6,102","218",3.6
" 중구","2014",NA,"128,065","5,954","227",3.8
" 중구","2015",NA,"125,733","5,774","235",4.1
" 중구","2016",NA,"125,249","5,719","232",4.1
" 중구","2017",NA,"125,709","5,694","234",4.1
" 중구","2018",NA,"125,725","5,638","218",3.9
" 중구","2019",NA,"126,171","5,712","220",3.85
" 중구","2020",NA,"125,240","5,700","218",3.82
" 중구","2021",NA,"122,499","5,634","207",3.7
" 용산구","2012",NA,"243,232","9,225","312",3.38
" 용산구","2013",NA,"239,740","8,869","302",3.4
" 용산구","2014",NA,"235,951","8,638","305",3.5
" 용산구","2015",NA,"233,342","8,320","301",3.6
" 용산구","2016",NA,"230,241","8,189","303",3.7
" 용산구","2017",NA,"229,161","8,116","297",3.7
" 용산구","2018",NA,"228,999","8,102","291",3.6
" 용산구","2019",NA,"228,670","8,025","298",3.71
" 용산구","2020",NA,"230,040","7,960","292",3.67
" 용산구","2021",NA,"222,953","7,686","282",3.7
" 성동구","2012",NA,"299,604","12,256","408",3.32
" 성동구","2013",NA,"299,337","12,052","412",3.4
" 성동구","2014",NA,"296,086","11,849","417",3.5
" 성동구","2015",NA,"297,003","11,773","427",3.6
" 성동구","2016",NA,"299,259","11,664","439",3.8
" 성동구","2017",NA,"304,808","11,770","456",3.9
" 성동구","2018",NA,"308,221","11,880","449",3.8
" 성동구","2019",NA,"300,889","11,686","436",3.73
" 성동구","2020",NA,"293,556","11,412","423",3.71
" 성동구","2021",NA,"285,990","11,284","407",3.6
" 광진구","2012",NA,"371,313","13,187","487",3.69
" 광진구","2013",NA,"368,927","13,013","493",3.8
" 광진구","2014",NA,"363,354","12,660","491",3.9
" 광진구","2015",NA,"360,369","12,494","514",4.1
" 광진구","2016",NA,"357,215","12,356","515",4.2
" 광진구","2017",NA,"357,703","12,514","521",4.2
" 광진구","2018",NA,"355,559","12,610","536",4.3
" 광진구","2019",NA,"351,350","12,563","521",4.14
" 광진구","2020",NA,"346,682","12,353","513",4.15
" 광진구","2021",NA,"339,996","12,253","530",4.3
" 동대문구","2012",NA,"363,258","16,584","594",3.58
" 동대문구","2013",NA,"364,273","16,497","613",3.7
" 동대문구","2014",NA,"363,687","16,317","634",3.9
" 동대문구","2015",NA,"360,153","15,979","633",4
" 동대문구","2016",NA,"355,069","15,909","648",4.1
" 동대문구","2017",NA,"350,647","15,893","646",4.1
" 동대문구","2018",NA,"348,052","15,838","653",4.1
" 동대문구","2019",NA,"346,194","15,871","634",3.99
" 동대문구","2020",NA,"342,837","15,701","638",4.06
" 동대문구","2021",NA,"337,400","15,518","633",4.1
" 중랑구","2012",NA,"419,295","20,563","842",4.09
" 중랑구","2013",NA,"416,798","20,339","823",4
" 중랑구","2014",NA,"418,836","20,252","835",4.1
" 중랑구","2015",NA,"413,909","19,996","812",4.1
" 중랑구","2016",NA,"411,005","19,882","828",4.2
" 중랑구","2017",NA,"408,226","20,034","856",4.3
" 중랑구","2018",NA,"403,209","20,153","860",4.3
" 중랑구","2019",NA,"397,015","20,361","868",4.26
" 중랑구","2020",NA,"394,702","20,394","857",4.2
" 중랑구","2021",NA,"387,350","20,357","856",4.2
" 성북구","2012",NA,"481,857","19,507","672",3.44
" 성북구","2013",NA,"476,589","19,368","673",3.5
" 성북구","2014",NA,"466,706","18,615","660",3.5
" 성북구","2015",NA,"459,275","18,105","639",3.5
" 성북구","2016",NA,"450,355","17,755","638",3.6
" 성북구","2017",NA,"444,055","17,529","640",3.7
" 성북구","2018",NA,"435,868","17,415","634",3.6
" 성북구","2019",NA,"442,650","17,687","654",3.69
" 성북구","2020",NA,"437,153","17,490","647",3.7
" 성북구","2021",NA,"430,528","17,382","647",3.7
" 강북구","2012",NA,"343,157","17,641","650",3.68
" 강북구","2013",NA,"338,707","17,487","674",3.9
" 강북구","2014",NA,"335,025","17,357","668",3.8
" 강북구","2015",NA,"330,873","17,243","690",4
" 강북구","2016",NA,"327,195","17,338","718",4.1
" 강북구","2017",NA,"324,479","17,377","715",4.1
" 강북구","2018",NA,"319,164","17,522","725",4.1
" 강북구","2019",NA,"313,954","17,517","731",4.17
" 강북구","2020",NA,"308,055","17,441","740",4.24
" 강북구","2021",NA,"299,182","17,395","747",4.3
" 도봉구","2012",NA,"362,270","14,972","526",3.51
" 도봉구","2013",NA,"358,582","14,926","540",3.6
" 도봉구","2014",NA,"353,709","14,863","565",3.8
" 도봉구","2015",NA,"351,242","14,858","605",4.1
" 도봉구","2016",NA,"348,220","15,015","608",4
" 도봉구","2017",NA,"344,166","15,196","613",4
" 도봉구","2018",NA,"339,413","15,373","603",3.9
" 도봉구","2019",NA,"333,362","15,450","625",4.04
" 도봉구","2020",NA,"325,257","15,436","647",4.19
" 도봉구","2021",NA,"317,366","15,300","668",4.4
" 노원구","2012",NA,"597,189","28,299","1,309",4.62
" 노원구","2013",NA,"590,479","27,985","1,351",4.8
" 노원구","2014",NA,"582,552","27,739","1,388",5
" 노원구","2015",NA,"574,583","27,422","1,434",5.2
" 노원구","2016",NA,"567,581","27,430","1,453",5.3
" 노원구","2017",NA,"554,403","27,436","1,481",5.4
" 노원구","2018",NA,"543,752","27,396","1,495",5.5
" 노원구","2019",NA,"532,905","27,342","1,464",5.35
" 노원구","2020",NA,"523,037","27,312","1,496",5.48
" 노원구","2021",NA,"510,956","26,904","1,477",5.5
" 은평구","2012",NA,"501,480","21,905","1,156",5.27
" 은평구","2013",NA,"503,660","21,763","1,134",5.2
" 은평구","2014",NA,"498,644","21,504","1,126",5.2
" 은평구","2015",NA,"497,920","21,436","1,104",5.2
" 은평구","2016",NA,"491,476","21,352","1,119",5.2
" 은평구","2017",NA,"486,794","21,301","1,128",5.3
" 은평구","2018",NA,"483,197","21,531","1,125",5.2
" 은평구","2019",NA,"480,032","21,617","1,150",5.31
" 은평구","2020",NA,"479,835","21,773","1,162",5.34
" 은평구","2021",NA,"473,307","21,756","1,167",5.4
" 서대문구","2012",NA,"315,113","12,901","501",3.88
" 서대문구","2013",NA,"314,110","12,808","515",4
" 서대문구","2014",NA,"310,376","12,633","519",4.1
" 서대문구","2015",NA,"312,141","12,510","539",4.3
