"지역","2012...2","2012...3","2012...4"
"지역","전체","남성","여성"
"종로구","17.600000000000001","23.199999999999999","13.4"
"중구","12.5","-","7.7000000000000002"
"용산구","18.600000000000001","-","21.399999999999999"
"성동구","21.399999999999999","32","11.800000000000001"
"광진구","25.100000000000001","-","23.399999999999999"
"동대문구","14.6","-","11.9"
"중랑구","14","9.5999999999999996","16.899999999999999"
"성북구","26.699999999999999","-","33.5"
"강북구","18.899999999999999","15.9","20.800000000000001"
"도봉구","10.9","10","11.6"
"노원구","10.199999999999999","7.2999999999999998","12.1"
"은평구","34","-","31.800000000000001"
"서대문구","11.699999999999999","-","12.699999999999999"
"마포구","18.100000000000001","-","28.600000000000001"
"양천구","11.699999999999999","-","6"
"강서구","26.399999999999999","-","20.899999999999999"
"구로구","13.9","3.7000000000000002","18.5"
"금천구","18.399999999999999","14.300000000000001","20.600000000000001"
"영등포구","7.7999999999999998","3.5","12.300000000000001"
"동작구","14.9","14.9","15"
"관악구","20.100000000000001","-","22.199999999999999"
"서초구","25.899999999999999","-","31"
"강남구","11.5","-","14.9"
"송파구","12.5","7.7000000000000002","14.699999999999999"
"강동구","16.5","-","21.100000000000001"
