"지역","전체","남성","여성"
"서울시","7","4.9000000000000004","9.0999999999999996"
"종로구","6.2000000000000002","4.2000000000000002","8.1999999999999993"
"중구","4.7999999999999998","1.8999999999999999","7.7999999999999998"
"용산구","6.7000000000000002","5.2999999999999998","8"
"성동구","7.5999999999999996","6.2000000000000002","9.0999999999999996"
"광진구","4.5999999999999996","3.2000000000000002","5.9000000000000004"
"동대문구","6.7999999999999998","3.7000000000000002","9.9000000000000004"
"중랑구","5","2.8999999999999999","7"
"성북구","8.4000000000000004","7","9.9000000000000004"
"강북구","8","5.5999999999999996","10.300000000000001"
"도봉구","8.5999999999999996","6.5999999999999996","10.4"
"노원구","5.2999999999999998","3.7000000000000002","6.7999999999999998"
"은평구","5.7000000000000002","3.3999999999999999","7.9000000000000004"
"서대문구","7.7999999999999998","3.7000000000000002","11.5"
"마포구","8.1999999999999993","4.7999999999999998","11.199999999999999"
"양천구","5.5999999999999996","4.9000000000000004","6.2000000000000002"
"강서구","7.2000000000000002","4.7999999999999998","9.4000000000000004"
"구로구","11.1","7.4000000000000004","14.9"
"금천구","7.5","3.7999999999999998","11.4"
"영등포구","8.8000000000000007","7.5999999999999996","10.1"
"동작구","9.8000000000000007","7.7000000000000002","11.800000000000001"
"관악구","6","4.7000000000000002","7.2999999999999998"
"서초구","6","5.5","6.2999999999999998"
"강남구","4","1.8","5.9000000000000004"
"송파구","7.9000000000000004","4.7000000000000002","11"
"강동구","8.0999999999999996","5.4000000000000004","10.699999999999999"
