title,link,press
[희망2022]코로나19 블루 잊게하는 호랑이 남매의 장난,https://www.news1.kr/photos/view/?5131181,뉴스1
"""코로나 3년차…독서·명상으로 멘탈 잡고, 걷기로 체력 키워요"" [이선아 기자...",https://www.hankyung.com/society/article/2021123176801,한국경제언론사 선정
"CJ CGV, 코로나 블루 달래줄 ‘온기우편함’ 운영",https://daily.hankooki.com/lpage/industry/202112/dh20211230094033148000.htm?s_ref=nv,데일리한국
"통영 극단 ‘벅수골’, 코로나19 속 해외 진출 노린다!",https://news.kbs.co.kr/news/view.do?ncd=5362233&ref=A,KBS
김해 청소년 '코로나 블루' 심각...18%가 슬픔·절망감 호소,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20211231.99099009487,국제신문
"포항원동초, 코로나 블루 극복 프로젝트 '복면원동' 개최",http://www.kyongbuk.co.kr/news/articleView.html?idxno=2090730,경북일보
"코로나 블루 극복, 일류 문화도시 도약 발판 마련",http://www.gukjenews.com/news/articleView.html?idxno=2378226,국제뉴스
스타트업 디지털 기술로 코로나블루 이겨낸다,http://www.inews24.com/view/1437321,아이뉴스24
"하린국·타키온 블루 개발 ‘플레이스링크’, 투자 유치",https://www.venturesquare.net/845969,벤처스퀘어
"""정신과 의사가 권하는 코로나 시대, 마음 지키는 법"" 김영화 신간 '코로나 블...",http://www.lecturernews.com/news/articleView.html?idxno=85384,한국강사신문
"포항원동초, 코로나 블루 극복 프로젝트 '복면원동' 개최",http://www.kyongbuk.co.kr/news/articleView.html?idxno=2090730,경북일보
"대구시, 코로나 극복 위해 시민건강 내년 예산 15% 증액된 9천752억원 투입",https://news.imaeil.com/page/view/2021122913581662557,매일신문
"코로나 블루 극복, 일류 문화도시 도약 발판 마련",http://www.gukjenews.com/news/articleView.html?idxno=2378226,국제뉴스
스타트업 디지털 기술로 코로나블루 이겨낸다,http://www.inews24.com/view/1437321,아이뉴스24
[연말결산] 코로나 팬데믹 쇼크에서 오히려 더 빛난 K-콘텐츠,https://www.wikitree.co.kr/articles/720291,위키트리
"하린국·타키온 블루 개발 ‘플레이스링크’, 투자 유치",https://www.venturesquare.net/845969,벤처스퀘어
"중기부, 한남동 블루스퀘어에 ‘소담상회 위드 인터파크’ 열어",https://www.sedaily.com/NewsView/22VHDETZ0Z,서울경제
지구촌 달군 ‘오징어게임’ …위드 코로나 멈춘 ‘오미크론’,https://www.donga.com/news/article/all/20211230/111010559/1,동아일보언론사 선정
새해는 코로나·불확실 경제난·비호감 대선을 넘어서야,http://www.siminsori.com/news/articleView.html?idxno=228878,시민의소리
"""정신과 의사가 권하는 코로나 시대, 마음 지키는 법"" 김영화 신간 '코로나 블...",http://www.lecturernews.com/news/articleView.html?idxno=85384,한국강사신문
"롯데, 장애 편견 넘는 '슈퍼블루 마라톤' 개최",https://www.hankyung.com/economy/article/2021122908851,한국경제
美 성탄연휴 대규모 항공기 결항…코로나 확산에 승무원 부족,http://www.edaily.co.kr/news/newspath.asp?newsid=01354646629282456,이데일리언론사 선정
코로나 블루는 옛말? 우울·불안장애 감소,http://www.dt.co.kr/contents.html?article_no=2021122702100231040002&ref=naver,디지털타임스
"코로나 블루-레드를 넘어 '코로나 블랙'까지 등장, 자포자기로 빠져들어... [...",http://www.sisunnews.co.kr/news/articleView.html?idxno=154821,시선뉴스
"​​​​​​​신민아 측 ""코로나19 취약 아동에 1억 추가 기부…올해만 3억""...",https://www.xportsnews.com/article/1518034,엑스포츠뉴스
"'해피 뉴 이어', 코로나 블루 잊게 해줄 설렘가득 로맨스",http://starin.edaily.co.kr/news/newspath.asp?newsid=01190646629283112,이데일리
"시민-학생들, 코로나로 침체된 지구촌 나눔문화 활성화 위해 나서",https://www.christiantoday.co.kr/news/344763,크리스천투데이
[기고] 코로나 블루 반려식물과 함께 극복을,http://www.kyeongin.com/main/view.php?key=20211223010004087,경인일보
"""코로나시대 학생행복 중요정책으로 설정해야""",http://www.jeollailbo.com/news/articleView.html?idxno=645695,전라일보
블루핸즈 남진주현대서비스 개업 축하 쌀 기부,http://www.gndomin.com/news/articleView.html?idxno=301951,경남도민신문
"전통주까지 파는 골든블루···""종합주류회사 도약""",https://www.sedaily.com/NewsView/22VHDMHZP1,서울경제
"더브레드 블루, 안양시에 케이크 100박스 기부",http://www.nspna.com/news/?mode=view&newsid=546951,NSP통신
"김희재, 코로나블루 속 겨울 훈훈하게 덥힌 '팬사랑+선행'",http://starin.edaily.co.kr/news/newspath.asp?newsid=01141446629281144,이데일리
"새만금개발公, 코로나19 의료진 응원간식 전달",http://www.todayenergy.kr/news/articleView.html?idxno=243848,투데이에너지
