title,link,press
"""코로나 3년차…독서·명상으로 멘탈 잡고, 걷기로 체력 키워요"" [이선아 기자...",https://www.hankyung.com/society/article/2021123176801,한국경제언론사 선정
코로나19 팬데믹 속 '염증성장질환' 관리 빨간불,http://www.k-health.com/news/articleView.html?idxno=57397,헬스경향
핀란드 대학생이 펴낸 코로나로 멍든 대학 생활 백서,http://news.ebs.co.kr/ebsnews/allView/60157323/N,EBS
코로나19에도 암환우 섬김은 '진행형',https://www.goodnews1.com/news/articleView.html?idxno=402845,데일리굿뉴스
"원격 수업, 아이 우울증 위험 높인다 (연구)",https://kormedi.com/?p=1373380,코메디닷컴
"부산지법, 고도의 우울증으로 46년간 부양한 정신지체 및 시각장애 자녀 살해...",http://www.lawissue.co.kr/view.php?ud=2021123111020142059a8c8bf58f_12,로이슈
"뉴로라이브, 우울증 치료제 'NR-0601' 임상 1상 진입",https://www.hankyung.com/finance/article/2021123040086,한국경제
"코로나19로 염증성장질환 치료-관리 ""빨간불""",https://www.khan.co.kr/national/health-welfare/article/202112301803001,경향신문
코로나 장기화 짙어지는 우울감…'웰니스 서비스' 각축전,http://www.newsis.com/view/?id=NISX20211228_0001704714&cID=13001&pID=13000,뉴시스언론사 선정
코로나19로 현실이 된 ‘학력 격차’,https://news.kbs.co.kr/news/view.do?ncd=5361105&ref=A,KBS
코로나19에도 암환우 섬김은 '진행형',https://www.goodnews1.com/news/articleView.html?idxno=402845,데일리굿뉴스
"원격 수업, 아이 우울증 위험 높인다 (연구)",https://kormedi.com/?p=1373380,코메디닷컴
새해는 코로나·불확실 경제난·비호감 대선을 넘어서야,http://www.siminsori.com/news/articleView.html?idxno=228878,시민의소리
[헬스S] 코로나 핑계로 매일 '혼술' '홈술' 했다간…,http://moneys.mt.co.kr/news/mwView.php?no=2021122817408031007,머니S언론사 선정
"“코로나 우울, 익명으로 상담”… 비대면 심리치유 플랫폼 이용 급증",https://www.donga.com/news/article/all/20211229/110992982/1,동아일보언론사 선정
코로나 팬데믹 속 국민이 뽑은 인생 위기 1위는?,http://sports.chosun.com/news/ntype.htm?id=202112300100185400011583&servicedate=20211229,스포츠조선
코로나19 확산에 따른 우울증?...정신·불안장애 등 오히려 '감소',http://www.sisafocus.co.kr/news/articleView.html?idxno=270501,시사포커스
"부산지법, 고도의 우울증으로 46년간 부양한 정신지체 및 시각장애 자녀 살해...",http://www.lawissue.co.kr/view.php?ud=2021123111020142059a8c8bf58f_12,로이슈
우울증 심한 사람… '이것' 키우세요,https://health.chosun.com/site/data/html_dir/2021/12/27/2021122700968.html,헬스조선언론사 선정
"""코로나發 불면·우울증 만성될라"" 극복하려면 이렇게 하세요",http://news.heraldcorp.com/view.php?ud=20211227000625,헤럴드경제
"""건강도 경영…코로나19 '건강 위기' 극복 위해 인생 목표 먼저 정하세요""",http://sports.chosun.com/news/ntype.htm?id=202201010100000370012416&servicedate=20211231,스포츠조선
